Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
Cielo SA,CIEL3,B3 S.A.,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services
Astra Microwave Products Ltd,ASTRAMICRO,BSE LTD,Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment
eClerx Services Ltd,ECLERX,BSE LTD,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services
HCL Technologies Ltd,HCLTECH,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
Infosys Ltd,INFY,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
LTIMindtree,LTIM,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
NIIT Ltd,NIITLTD,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
Tata Consultancy Services Ltd,TCS,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
Tech Mahindra Ltd,TECHM,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
Wipro Ltd,WIPRO,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
ASML Holding NV,ASML,Euronext,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,"Semiconductor Equipment	"
Samsung Electronics Co Ltd,5930,Korea Exchange,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
Sage Group (The) PLC,SGE,London Stock Exchange,Information Technology,Software and Services,Software,Application Software
Alphawave IP Group,AWE,London Stock Exchange,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Adobe Inc,ADBE,Nasdaq,Information Technology,Software and Services,Software,Application Software
Advanced Micro Devices,AMD,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Aehr Test Systems,AEHR,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
Apple Inc,AAPL,Nasdaq,Information Technology,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals","Technology Hardware, Storage and Peripherals"
Baijiayun Group Ltd,RTC,Nasdaq,Information Technology,Software & Services,Software,Application Software
Broadcom Inc,AVGO,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
CISCO Systems Inc,CSCO,Nasdaq,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
Cognizant Technology Solutions Corp,CTSH,Nasdaq,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
Dropbox Inc,DBX,Nasdaq,Information Technology,Software & Services,Software,Application Software
Fortinet Inc,FTNT,Nasdaq,Information Technology,Software & Services,Software,Systems Software
INTEL Corp,INTC,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Manhattan Associates Inc,MANH,Nasdaq,Information Technology,Software and Services,Software,Application Software
Meta Materials Inc,MMAT,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Microsoft Corp,MSFT,Nasdaq,Information Technology,Software and Services,Software,Systems Software
NVIDIA Corp,NVDA,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
NXP Semiconductors NV,NXPI,Nasdaq,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors
PayPal Holdings Inc,PYPL,Nasdaq,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services
QUALCOMM Inc,QCOM,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Solar Edge,SEDG,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,"Semiconductor Equipment	",Computer Hardware
Texas Instruments Inc,TXN,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
UTStarcom Holdings Corp,UTSI,Nasdaq,Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment
Arista Networks Inc,ANET,"New York Stock Exchange, Inc.",Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment
Bill.com Holdings Inc,BILL,"New York Stock Exchange, Inc.",Information Technology,Software & Services,Software,Application Software
DXC Technology Co,DXC,"New York Stock Exchange, Inc.",Information Technology,Software and Services,IT Services,IT Consulting and Other Services
Fair Isaac Corp,FICO,"New York Stock Exchange, Inc.",Information Technology,Software and Services,Software,Application Software
Mastercard Inc,MA,"New York Stock Exchange, Inc.",Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services
Oracle Corp,ORCL,"New York Stock Exchange, Inc.",Information Technology,Software and Services,Software,Systems Software
Salesforce Inc,CRM,"New York Stock Exchange, Inc.",Information Technology,Software & Services,Software,Application Software
SAP SE,SAP,"New York Stock Exchange, Inc.",Information Technology,Software & Services,Software,Application Software
Snowflake Inc,SNOW,"New York Stock Exchange, Inc.",Information Technology,Software & Services,IT Services,Internet Services & Infrastructure
Taiwan Semiconductor Manufacturing Co ,TSM,"New York Stock Exchange, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Visa Inc,V,"New York Stock Exchange, Inc.",Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services
Xerox Holdings Corp,XRX,"New York Stock Exchange, Inc.",Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
Foxconn Industrial Internet Co Ltd,601138,Shanghai Stock Exchange,Information Technology,Technology Hardware and Equipment,"Electronic Equipment, Instruments and Components",Electronic Manufacturing Services
Hangzhou Hik-Vision Digital Technology Co Ltd,2415,Shenzhen Stock Exchange,Information Technology,Technology Hardware and Equipment,"Electronic Equipment, Instruments and Components",Electronic Equipment and Instruments
Constellation Software Inc,CSU,Toronto Stock Exchange,Information Technology,Software and Services,Software,Application Software
Enghouse Systems Ltd,ENGH,Toronto Stock Exchange,Information Technology,Software and Services,Software,Application Software
Open Text Corp,OTEX,Toronto Stock Exchange,Information Technology,Software and Services,Software,Application Software
Shopify Inc,SHOP,Toronto Stock Exchange,Information Technology,Software and Services,IT Services,Internet Services & Infrastructure
